Year,Title,Character(s),Actor,Notes,Country,Identity
2011,Unforgivable,Judith,Carole Bouquet,Judith is in a relationship Francis. Her former female lover is beset by a disease.,France,Bisexual
2012,Cloud Atlas,Robert Frobisher,Ben Whishaw,"Robert, living in 1930s Britain, is a budding composer, and apprentice of musical genius Vyvyan Ayrs.
Rufus is Robert's lover.",Germany,Bisexual
2018,Bird Box,Greg,BD Wong,,United States,Bisexual
2012,Love Is Not Perfect,Elena,Anna Foglietta,Elena has her first romantic relationship with a woman.,Italy,Bisexual
2012,Speechless,Han Dong,Jian Jiang,Luke had previously had a romantic affair with a young male university student Han Dong.,Hong Kong,Bisexual
2018,Bohemian Rhapsody,John Reid,Aidan Gillen,,China,Bisexual
2013,Blue Is the Warmest Colour,Adèle,Adèle Exarchopoulos,"Adèle meets Emma in a lesbian bar. They begin a romantic relationship and live together. After she cheats with Antoine, a male colleague, the relationship with Emma ends. Some reviewers said that bisexual erasure is ""central to understanding Adele's particular sense that she does not belong as she comes of age.""",France,Bisexual
2013,Free Fall,Marc Borgmann,Hanno Koffler,"Borgmann is a young police officer, who's on a training course for the riot control unit.",Germany,Bisexual
2013,Kill Your Darlings,Allen Ginsberg,Daniel Radcliffe,Ginsberg is a poet.,United Kingdom,Bisexual
2013,The Mortal Instruments: City of Bones,Magnus Bane,Godfrey Gao,"Magnus, a bisexual warlock, first appears in ""heavy guyliner, piercings and a disturbing blazer-and-boxers combo.""",United States,Bisexual
2013,Side Effects,Emily Taylor,Rooney Mara,Taylor is a New York socialite who drives into a wall in an apparent suicide attempt.,United States,Bisexual
2013,Snowpiercer,Wilford,Ed Harris,,"South Korea, Czech Republic",Bisexual
2018,"Don't Worry, He Won't Get Far on Foot",Martingale,Tyler John Williams,,United States,Bisexual
2013,Tom at the Farm,Francis Longchamp,Pierre-Yves Cardinal,"Tom travels to an isolated farm for his lover's funeral where he's quickly drawn into a twisted, sexually charged game by his lover's aggressive brother, Francis.",Canada,Bisexual
2014,Appropriate Behavior,Shirin,Desiree Akhavan,Shirin is the daughter of well-off Persian immigrants.,United Kingdom,Bisexual
2014,The Grand Budapest Hotel,Monsieur Gustave H.,Ralph Fiennes,Gustave admitted sleeping with all his friends and being straight up called bisexual by Dmitri.,United States,Bisexual
2018,The Happy Prince,Robbie Ross,Edwin Thomas,,Germany,Bisexual
2014,The Skeleton Twins,Rich Levitt,Ty Burrell,"Milo reconnects with his high school English teacher Rich, with whom he had a sexual relationship when he was 15. Rich now has a sixteen-year-old son and is dating a woman.",United States,Bisexual
2015,Legend,Lord Boothby,John Sessions,Boothby is a British politician.,France,Bisexual
2018,Ideal Home,Erasmus Brumble,Steve Coogan,,United Kingdom,Bisexual
2015,Utopians,Hins Gao,Adonis He Fei,"Hins Gao is in a relationship with his female classmate Joy, but gradually becomes attracted to his professor, Ming.",Hong Kong,Bisexual
2016,Moonlight,Kevin Jones,André Holland,"Kevin is Chiron's childhood friend. During their teenage years, they kiss and Kevin masturbates Chiron. After he breaks up with his girlfriend, he is visited by Chiron, who admits he has not been intimate with anybody since their encounter years ago.",United States,Bisexual
2018,"Love, Simon",Bram Greenfeld,Jharrel Jerome,,United States,Bisexual
2018,Mary Queen of Scots,Lord Darnley,Jaden Piner,,"United Kingdom, United States",Bisexual
2016,Lovesong,Mindy,Jena Malone,Sarah is a stay-at-home mom married to a man who's always away on business. She then begins a relationship with her best friend Mindy.,United States,Bisexual
2018,Rainbow's Sunset,Sarah,Riley Keough,,Philippines,Bisexual
2017,Atomic Blonde,Lorraine Broughton,Charlize Theron,"Lorraine, an MI6 secret agent, meets undercover French agent Delphine in a bar. They kiss passionately. Later they have sex, which evolves into a romantic relationship.
The emotionally intimate post-sex scene between Lorraine and Delphine was deleted in the final cut but included in the DVD/Blu-ray bonus features under the title ""Not Afraid of Love"".",United States,Bisexual
2017,Call Me by Your Name,Oliver,Armie Hammer,"The film chronicles the romantic relationship between 17-year-old Elio and 24-year-old Oliver, a graduate-student assistant to Elio's father. Elio had a girlfriend with whom he broke up later. In the end of the film, Oliver married a woman back in America.",Brazil,Bisexual
2018,Set It Up,Elio Perlman,Timothée Chalamet,,France,Bisexual
2018,To All the Boys I've Loved Before,Lucas Krapf,Trezzo Mahoro,,Italy,Bisexual
2018,Truth or Dare,Brad Chang,Hayden Szeto,,United States,Bisexual
2017,Disobedience,Ronit Krushka,Rachel Weisz,"Ronit is the daughter of a rabbi and community authority; she had a forbidden romance with Esti when they were teenagers and was sent away by her father after he discovered their relationship. When she returns to London after the death of her father, the sexual attraction between her and Esti is reignited.","United States, Ireland, United Kingdom",Bisexual
2017,Princess Cyd,Cyd,Jessie Pinnick,"Cyd visits her aunt in Chicago for a few weeks. While there, she develops a crush on another girl, Katie, and pursues a relationship with her. She also has a one-night stand with her aunt's friends' son.",United States,Bisexual
2017,Rough Night,Blair,Zoë Kravitz,Blair is a real estate agent and Frankie's ex-lover.,United States,Bisexual
2017,Song to Song,Faye,Rooney Mara,"Faye has a relationship with Zoey, a lesbian French artist living in the US.",United States,Bisexual
2018,Bohemian Rhapsody,Freddie Mercury,Rami Malek,"The film tells the story of the life of Freddie Mercury, the lead singer of British rock band Queen, from the formation of the band in 1970 up to their 1985 Live Aid performance at the original Wembley Stadium.",United Kingdom,Bisexual
2019,The Good Liar,Steven,Russell Tovey,,United States,Bisexual
2018,Colette,Gabrielle Colette,Keira Knightley,Biopic about the French novelist. Colette lived openly as a bisexual and had relationships with many prominent women.,United States,Bisexual
2019,Isn't It Romantic,Donny,Brandon Scott Jones,,United Kingdom,Bisexual
2019,Jojo Rabbit,Captain Klenzendorf,Sam Rockwell,,Hungary,Bisexual
2018,Diamantino,Aisha Brito,Cleo Tavares,"Aisha is a Secret Service agent working undercover as a refugee orphan teenage boy. She has a lesbian girlfriend, Aisha.",Portugal,Bisexual
2019,Judy,Dan,Andy Nyman,,France,Bisexual
2019,Judy,Stan,Daniel Cerqueira,,Brazil,Bisexual
2018,The Favourite,Sarah Churchill,Rachel Weisz,"The plot examines the relationship between Queen Anne and cousins Sarah Churchill and Abigail Masham, who are both vying to be the court favourite.","United Kingdom, Ireland, United States",Bisexual
2018,In a Relationship,Hallie,Emma Roberts,,United States,Bisexual
2018,"Love, Simon",Cal Price,Miles Heizer,Based on the novel Simon vs. the Homo Sapiens Agenda.,United States,Bisexual
2018,Vita & Virginia,Vita Sackville-West,Gemma Arterton,The film tells the story of the love affair between Sackville-West and Woolf.,"United Kingdom, Ireland",Bisexual
2019,Rialto,Virginia Woolf,Elizabeth Debicki,,"Ireland, United Kingdom",Bisexual
2019,Anna,Anna Poliatova,Sasha Luss,"A double agent assassin. She is in a relationship with fellow fashion model Maude as a cover. She has sex with Alexander Tchenkov, her KGB handler, and Leonard Miller, her CIA handler.",France,Bisexual
2019,Rocketman,Elton John,Taron Egerton,,United States,Bisexual
2019,Bombshell,Kayla Pospisil,Margot Robbie,"Kayla has a sexual relationship with Jess Carr, but says she's not a lesbian. Later in the movie she goes on a date with a man.",United States,Bisexual
2019,Straight Up,Ryder,James Scully,,Canada,Bisexual
2019,Matthias & Maxime,Maxime,Xavier Dolan,Matthias and Maxime are lifelong friends who discover they might have romantic feelings for each other.,Canada,Bisexual
2019,Suk Suk,Matthias,Gabriel D'Almeida,,Hong Kong,Bisexual
2019,Velvet Buzzsaw,Morf Vandewalt,Jake Gyllenhaal,Morf is an art critic who has his hands full juggling relationships with both male and female lovers.,United States,Bisexual
2020,Ammonite,Charlotte Murchison,Saoirse Ronan,"Charlotte is married to a geologist who hires paleontologist Mary Anning to care for her and keep her company while he's away on an expedition. While sharing time and days with Mary, Charlotte becomes romantically attracted to her.",United Kingdom,Bisexual
2020,The Boys in the Band,Michael,Jim Parsons,,Australia,Bisexual
2020,Bruised,"Jackie ""Pretty Bull"" Justice",Halle Berry,Jackie moves out with her son Manny from her abusive boyfriend Desi. She then begins an intimate relationship with trainer Bobbi Berroa.,United States,Bisexual
2020,The Boys in the Band,Donald,Matt Bomer,,United Kingdom,Bisexual
2020,The Craft: Legacy,Timmy Andrews,Nicholas Galitzine,"Andrews has sex with Isaiah, Jacob's elder brother.",United States,Bisexual
2020,Holly Slept Over,Audra,Britt Lower,Noel's wife Audra had a fling with her old college roomrate Holly.,United States,Bisexual
2020,Ma Rainey's Black Bottom,Ma Rainey,Viola Davis,Rainey has a young girlfriend named Dussie Mae that all her bandmates know about. The story is based on the life of the famous blues singer.,United States,Bisexual
2020,Summer of 85,David Gorman,Benjamin Voisin,The intense friendship and romance of teenagers Alexis and David during a summer in Normandy in 1985.,France,Bisexual
2020,Summer of Mesa,Molly Miles,Lily Peony,Molly reconciles her feelings for Mesa and a boy named John.,United States,Bisexual
2021,After Blue,Roxy,Paula Luna,,France,Bisexual
2020,Breaking Fast,Sternberg,Vimala Pons,,United States,Bisexual
2021,Anaïs in Love,Anaïs,Anaïs Demoustier,"Anaïs is a spirited young woman who falls in love with Emilie, the novelist wife of the man with whom she's having an affair.",France,Bisexual
2020,Falling,Emilie,Valeria Bruni Tedeschi,,United States,Bisexual
2021,The Fallout,Vada Cavell,Jenna Ortega,"Vada, who has a boyfriend, kisses and has sex with Mia during a night of drinking.",United States,Bisexual
2021,The First Girl I Loved,Sylvia Lee Sum Yuet,Renci Yeung,"At the beginning of the film, Lee has a crush on her male teacher. She then starts a love affair with her best friend Sylvia. Years later, when Sylvia is preparing to marry her fiancé, she asks Lee to be her bridesmaid.",Hong Kong,Bisexual
2020,Isa Pang Bahaghari,Lee Wing Nam,Hedwig Tam,,Philippines,Bisexual
2021,The Green Knight,Lord,Joel Edgerton,,United States,Bisexual
2020,"Jump, Darling",Russell,Thomas Duplessie,,Canada,Bisexual
2021,One Four Three,Genevieve,Ella McCready,"Genevieve leaves her fiancé Paul to be in a relationship with Rebecca. On her way to meet with him, she is brutally attacked, leaving her with amnesia.",United Kingdom,Bisexual
2021,Parallel Mothers,Janis Martínez Moreno,Penélope Cruz,"Janis has sexual relationships with renowned forensic archaeologist Arturo and Ana, a teen single mother.",Spain,Bisexual
2021,Ride or Die,Nanae Shinoda,Honami Sato,Nanae and her former classmate Rei turn to each other for love.,Japan,Bisexual
2021,Twist,"Nancy ""Red"" Lee",Sophie Simnett,"Nancy is the girlfriend of Sikes, a female friend of Fagin.",United Kingdom,Bisexual
2021,The United States vs. Billie Holiday,Billie Holiday,Andra Day,"Billie is first married to Jimmy Monroe. She later begins a relationship with Joe Guy, and FBI agent Jimmy Fletcher. Later in her life, she enters into an abusive marriage with Louis McKay.
Tallulah and Billie were involved romantically.
Tallulah and Billie kiss in the film's trailer, but not in the film.",United States,Bisexual
2020,Stage Mother,Tallulah Bankhead,Natasha Lyonne,,United States,Bisexual
2021,Walk with Me,Amber Evans,Devin Dunne Cannon,"Evans is a mother who leaves her husband, then unexpectedly falls in love with another woman.",United States,Bisexual
2022,The Batman,Selina Kyle / Catwoman,Zoë Kravitz,"This role is based on the character of the same name from the comics, who is bisexual. (Kravitz confirmed Selina's sexuality in an interview.)",United States,Bisexual
2022,Bones and All,Lee,Timothée Chalamet,Lee is a cannibalistic teenager.,Italy,Bisexual
2020,The Thing About Harry,Sam Baselli,Jake Borelli,,United States,Bisexual
2020,Uncle Frank,Frank Bledsoe,Paul Bettany,,United Kingdom,Bisexual
2022,Crush,AJ,Auli'i Cravalho,"Openly bi throughout the whole movie, with Paige's friends saying that she's bi, and later in the movie AJ talks about her coming out as bisexual.",United States,Bisexual
2022,Everything Everywhere All at Once,Evelyn Quan Wang,Michelle Yeoh,"In an alternate universe, Evelyn is in a romantic relationship with Deirdre.",United States,Bisexual
2021,Benediction,Deirdre Beaubeirdra,Jamie Lee Curtis,,United States,Bisexual
2022,My Policeman,Tom Burgess,Harry Styles,"Set in 1950s Brighton, Tom is married to Marion while also being involved with Patrick.",United States,Bisexual
2021,Candyman,Grady Greenberg,Linus Roache,,"United States, Canada",Bisexual
2022,Whitney Houston: I Wanna Dance with Somebody,Whitney Houston,Naomi Ackie,This version of Houston has a girlfriend.,United States,Bisexual
2023,Anatomy of a Fall,Sandra Voyter,Sandra Hüller,,France,Bisexual
2023,Chestnut,Annie,Natalia Dyer,Annie was attracted to both her new friends Tyler and Danny.,United States,Bisexual
2023,The Color Purple,Shug Avery,Taraji P. Henson,,United States,Bisexual
2023,Cora Bora,Cora,Megan Stalter,"Cora is a musician who decided to pack up and leave Portland to move to Los Angeles to further her career, leaving behind her dog and her girlfriend.",United States,Bisexual
